,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","all, Average % Played","all, Average Quality Score","clean_up, % Played","clean_up, Quality Score","codenames, % Played","codenames, Quality Score","dond, % Played","dond, Quality Score","guesswhat, % Played","guesswhat, Quality Score","imagegame, % Played","imagegame, Quality Score","matchit_ascii, % Played","matchit_ascii, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","textmapworld, % Played","textmapworld, Quality Score","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,37.54,45.0,57.41,88.7,42.32,100.0,31.29,33.08,13.95,100.0,10.84,96.67,43.68,100.0,63.38,100.0,60.0,100.0,30.48,97.78,57.95,100.0,46.11,100.0,59.25,73.33,78.29,76.67,86.96,100.0,3.33,100.0,25.39,96.67,8.74
Bentel rockers__qwen3.5-4b__Bentel_iter,33.3,75.0,51.11,64.72,51.46,83.33,28.67,19.23,28.0,80.0,20.19,93.33,25.0,55.0,62.77,100.0,80.0,78.0,23.01,96.67,67.82,91.67,45.45,100.0,53.7,50.0,61.62,86.67,88.46,0.0,,20.0,61.11,6.67,75.0
Bentel rockers__qwen3.5-4b__Bentel_iter_2,28.47,65.0,3.85,71.12,40.03,100.0,4.58,0.0,,90.0,2.35,98.33,33.33,100.0,97.52,100.0,52.5,100.0,18.89,100.0,53.33,100.0,33.61,98.0,58.96,0.0,,73.33,100.0,43.33,1.54,33.33,50.0,36.67,50.0
Bentel rockers__qwen3.5-4b__Bentel_iter_3,33.74,80.0,57.29,65.04,51.87,83.33,28.67,19.23,28.0,80.0,20.19,93.33,25.0,55.0,62.77,100.0,80.0,78.0,23.01,96.67,67.82,91.67,45.45,100.0,53.7,50.0,61.62,86.67,88.46,0.0,,20.0,61.11,6.67,75.0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,47.32,10.0,66.67,77.95,60.71,94.44,5.31,67.69,36.36,100.0,69.19,98.33,45.2,100.0,94.3,100.0,80.0,100.0,53.77,100.0,76.67,100.0,45.0,100.0,75.77,90.0,69.81,96.67,100.0,50.0,3.33,13.33,75.0,26.67,75.0
DAIR__qwen3.5-2b__sft-dpo-v2,53.12,60.0,93.06,81.43,65.24,94.12,9.41,75.38,35.71,100.0,86.38,96.67,55.17,100.0,97.98,100.0,97.5,100.0,57.09,100.0,82.22,100.0,64.17,90.0,72.24,100.0,75.48,100.0,100.0,40.0,7.5,30.0,50.0,16.67,60.0
DAIR__qwen3.5-2b__sft-v1,48.24,50.0,95.0,78.6,61.37,100.0,9.22,64.62,39.29,100.0,58.15,98.33,33.33,100.0,96.95,100.0,92.5,100.0,49.95,100.0,82.22,100.0,58.33,78.0,73.28,100.0,74.95,96.67,100.0,33.33,8.0,23.33,35.71,13.33,75.0
Dialogue Architects__qwen3.5-9b__SCoRe_Qwen3.5-9B,40.09,77.5,83.87,63.18,63.45,83.33,28.35,0.0,,70.0,31.12,0.0,,80.0,90.59,100.0,82.5,80.0,27.13,100.0,71.11,100.0,50.0,90.0,60.48,93.33,61.96,80.0,100.0,23.33,42.86,13.33,87.5,20.0,70.83
LLP: Large Language Problems__qwen3.5-9b__llp-final,60.19,100.0,90.0,85.57,70.34,83.33,18.35,70.77,43.48,100.0,39.19,98.33,18.64,100.0,98.85,100.0,97.5,100.0,59.63,100.0,87.78,100.0,78.89,100.0,85.79,100.0,85.52,100.0,100.0,40.0,54.17,36.67,86.36,40.0,81.25
SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,53.97,100.0,48.33,87.38,61.77,38.89,16.66,89.23,39.66,100.0,71.99,96.67,56.9,100.0,99.1,100.0,87.5,100.0,77.74,100.0,83.33,100.0,81.67,100.0,44.21,100.0,67.81,100.0,60.0,70.0,25.71,53.33,68.75,50.0,58.89
