,"-, clemscore","all, Average % Played","all, Average Quality Score","chronicle, % Played","chronicle, Quality Score","clockwork_courier, % Played","clockwork_courier, Quality Score","cryptolect, % Played","cryptolect, Quality Score","get_to_the_point, % Played","get_to_the_point, Quality Score","st_clean_up, % Played","st_clean_up, Quality Score","ta_blackjack, % Played","ta_blackjack, Quality Score","ta_frozen_lake, % Played","ta_frozen_lake, Quality Score","ta_mastermind, % Played","ta_mastermind, Quality Score","ta_sokoban, % Played","ta_sokoban, Quality Score","toh_multi_turn, % Played","toh_multi_turn, Quality Score","wordle-crazy, % Played","wordle-crazy, Quality Score","wordle-crazy_withclue, % Played","wordle-crazy_withclue, Quality Score","wordle-crazy_withcritic, % Played","wordle-crazy_withcritic, Quality Score"
Bentel rockers__qwen3.5-4b__Bentel_iter,16.6,46.99,35.32,100.0,17.35,40.0,8.75,23.33,17.14,97.5,0.0,50.0,23.34,70.0,47.62,90.0,35.8,20.0,100.0,40.0,0.0,33.33,4.17,13.33,5.0,20.0,100.0,13.33,100.0
Bentel rockers__qwen3.5-4b__Bentel_iter_2,10.19,54.87,18.58,86.67,14.13,73.33,0.0,56.67,0.0,100.0,0.0,50.0,15.06,80.0,44.17,93.33,37.5,10.0,56.25,40.0,8.33,16.67,0.0,56.67,0.0,23.33,28.57,26.67,37.5
Bentel rockers__qwen3.5-4b__Bentel_iter_3,16.6,46.99,35.32,100.0,17.35,40.0,8.75,23.33,17.14,97.5,0.0,50.0,23.34,70.0,47.62,90.0,35.8,20.0,100.0,40.0,0.0,33.33,4.17,13.33,5.0,20.0,100.0,13.33,100.0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,10.25,47.05,21.78,100.0,3.33,10.0,0.0,100.0,0.0,85.0,0.0,66.67,9.8,0.0,,70.0,30.75,0.0,,10.0,0.0,0.0,0.0,16.67,0.0,76.67,100.0,76.67,95.65
DAIR__qwen3.5-2b__sft-dpo-v2,14.56,56.73,25.67,100.0,1.67,30.0,0.0,80.0,0.0,97.5,0.0,50.0,16.07,100.0,41.0,53.33,39.32,0.0,,30.0,0.0,0.0,0.0,26.67,10.0,90.0,100.0,80.0,100.0
DAIR__qwen3.5-2b__sft-v1,15.62,54.36,28.74,100.0,3.78,10.0,0.0,60.0,0.0,97.5,0.0,83.33,15.27,80.0,40.0,60.0,29.86,10.0,12.5,0.0,,12.5,0.0,23.33,47.14,80.0,100.0,90.0,96.3
Dialogue Architects__qwen3.5-9b__SCoRe_Qwen3.5-9B,23.37,52.88,44.2,93.33,30.48,63.33,32.62,26.67,10.0,77.5,13.17,83.33,16.37,100.0,41.0,100.0,53.47,30.0,87.5,50.0,80.0,0.0,0.0,16.67,10.0,23.33,100.0,23.33,100.0
LLP: Large Language Problems__qwen3.5-9b__llp-final,22.09,59.74,36.97,100.0,22.71,53.33,26.13,93.33,4.64,92.5,0.0,0.0,,100.0,41.33,93.33,49.11,0.0,,20.0,50.0,20.83,0.0,36.67,24.55,90.0,92.59,76.67,95.65
llama-3.1-8b-instruct,22.62,62.22,36.36,96.67,11.99,100.0,1.17,86.67,3.85,50.0,20.0,100.0,40.63,100.0,42.67,93.33,42.56,35.0,73.21,55.56,33.33,25.0,0.0,50.0,3.33,13.33,100.0,3.33,100.0
playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,7.88,33.08,23.81,3.33,0.0,56.67,0.0,33.33,2.0,35.0,0.0,33.33,4.85,25.0,18.67,40.0,55.56,15.0,33.33,10.0,0.0,25.0,0.0,80.0,4.17,36.67,100.0,36.67,90.91
qwen3.5-27b,43.51,68.01,63.98,76.67,64.3,86.67,85.46,50.0,66.67,65.0,21.15,100.0,45.35,100.0,49.0,100.0,70.69,75.0,91.67,50.0,80.0,54.17,29.17,10.0,33.33,63.33,100.0,53.33,95.0
qwen3.5-2b,3.72,35.19,10.56,100.0,5.02,0.0,,56.67,0.0,40.0,0.0,83.33,11.65,80.0,23.33,50.0,26.11,0.0,,10.0,0.0,20.83,0.0,3.33,0.0,6.67,50.0,6.67,0.0
qwen3.5-4b,17.99,45.51,39.52,96.67,19.25,10.0,23.33,33.33,7.0,82.5,8.08,83.33,18.05,55.0,47.27,96.67,51.29,40.0,100.0,0.0,,54.17,16.67,10.0,0.0,10.0,100.0,20.0,83.33
qwen3.5-9b,24.91,55.26,45.07,95.0,29.3,53.33,40.62,30.0,35.56,80.0,15.1,100.0,28.54,100.0,48.0,100.0,51.25,60.0,100.0,10.0,0.0,33.33,4.17,10.0,33.33,23.33,100.0,23.33,100.0
