,"-, clemscore","all, Average % Played","all, Average Quality Score","bbh, % Played","bbh, Quality Score","cladder, % Played","cladder, Quality Score","eqbench, % Played","eqbench, Quality Score","ifeval, % Played","ifeval, Quality Score","mmlu_pro, % Played","mmlu_pro, Quality Score"
BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,46.76,99.6,46.95,100.0,1.92,100.0,46.0,99.0,68.4,100.0,75.0,99.0,43.43
Bentel rockers__qwen3.5-4b__Bentel_iter,50.32,99.6,50.52,100.0,20.19,100.0,52.0,98.0,67.4,100.0,77.0,100.0,36.0
Bentel rockers__qwen3.5-4b__Bentel_iter_2,43.64,99.8,43.73,100.0,30.77,100.0,54.0,99.0,61.89,100.0,36.0,100.0,36.0
Bentel rockers__qwen3.5-4b__Bentel_iter_3,50.32,99.6,50.52,100.0,20.19,100.0,52.0,98.0,67.4,100.0,77.0,100.0,36.0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,39.86,97.8,40.76,100.0,34.62,100.0,52.0,89.0,48.2,100.0,44.0,100.0,25.0
DAIR__qwen3.5-2b__sft-dpo-v2,39.52,100.0,39.52,100.0,10.58,100.0,49.0,100.0,69.04,100.0,41.0,100.0,28.0
DAIR__qwen3.5-2b__sft-v1,37.37,99.8,37.44,100.0,5.77,100.0,50.0,99.0,65.43,100.0,41.0,100.0,25.0
Dialogue Architects__qwen3.5-9b__SCoRe_Qwen3.5-9B,54.33,100.0,54.33,100.0,21.15,100.0,51.0,100.0,74.5,100.0,80.0,100.0,45.0
LLP: Large Language Problems__qwen3.5-9b__llp-final,54.49,99.6,54.71,100.0,33.65,100.0,53.0,99.0,75.46,100.0,68.0,99.0,43.43
SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,64.21,100.0,64.21,100.0,38.46,100.0,61.0,100.0,80.58,100.0,81.0,100.0,60.0
llama-3.1-8b-instruct,40.87,95.8,42.66,100.0,0.0,100.0,50.0,100.0,65.98,100.0,72.0,79.0,25.32
playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,42.93,97.8,43.9,100.0,39.42,100.0,50.0,89.0,52.09,100.0,50.0,100.0,28.0
qwen3.5-27b,63.35,100.0,63.35,100.0,24.04,100.0,62.0,100.0,84.72,100.0,82.0,100.0,64.0
qwen3.5-2b,41.92,99.4,42.17,100.0,8.65,100.0,52.0,97.0,63.2,100.0,64.0,100.0,23.0
qwen3.5-4b,53.53,99.6,53.74,100.0,24.04,100.0,54.0,98.0,68.68,100.0,82.0,100.0,40.0
qwen3.5-9b,53.85,100.0,53.85,100.0,18.27,100.0,50.0,100.0,73.99,100.0,82.0,100.0,45.0
