model,team,version,validation_clemscore,validation_statscore,"ID_-, clemscore","ID_all, Average %P","ID_all, Average QS","OOD_-, clemscore","OOD_all, Average %P","OOD_all, Average QS","STATIC_-, clemscore","STATIC_all, Average %P","STATIC_all, Average QS","ID_adventuregame, %P","ID_adventuregame, QS","ID_clean_up, %P","ID_clean_up, QS","ID_codenames, %P","ID_codenames, QS","ID_dond, %P","ID_dond, QS","ID_guesswhat, %P","ID_guesswhat, QS","ID_imagegame, %P","ID_imagegame, QS","ID_matchit_ascii, %P","ID_matchit_ascii, QS","ID_privateshared, %P","ID_privateshared, QS","ID_referencegame, %P","ID_referencegame, QS","ID_taboo, %P","ID_taboo, QS","ID_textmapworld, %P","ID_textmapworld, QS","ID_textmapworld_graphreasoning, %P","ID_textmapworld_graphreasoning, QS","ID_textmapworld_specificroom, %P","ID_textmapworld_specificroom, QS","ID_wordle, %P","ID_wordle, QS","ID_wordle_withclue, %P","ID_wordle_withclue, QS","ID_wordle_withcritic, %P","ID_wordle_withcritic, QS","OOD_chronicle, %P","OOD_chronicle, QS","OOD_clockwork_courier, %P","OOD_clockwork_courier, QS","OOD_cryptolect, %P","OOD_cryptolect, QS","OOD_get_to_the_point, %P","OOD_get_to_the_point, QS","OOD_st_clean_up, %P","OOD_st_clean_up, QS","OOD_ta_blackjack, %P","OOD_ta_blackjack, QS","OOD_ta_frozen_lake, %P","OOD_ta_frozen_lake, QS","OOD_ta_mastermind, %P","OOD_ta_mastermind, QS","OOD_ta_sokoban, %P","OOD_ta_sokoban, QS","OOD_toh_multi_turn, %P","OOD_toh_multi_turn, QS","OOD_wordle-crazy, %P","OOD_wordle-crazy, QS","OOD_wordle-crazy_withclue, %P","OOD_wordle-crazy_withclue, QS","OOD_wordle-crazy_withcritic, %P","OOD_wordle-crazy_withcritic, QS","STATIC_bbh, %P","STATIC_bbh, QS","STATIC_cladder, %P","STATIC_cladder, QS","STATIC_eqbench, %P","STATIC_eqbench, QS","STATIC_ifeval, %P","STATIC_ifeval, QS","STATIC_mmlu_pro, %P","STATIC_mmlu_pro, QS"
qwen3.5-2b,,,10.67,44.24,6.7,31.04,21.6,3.72,35.19,10.56,40.2,99.4,40.44,0.0,0.0,66.67,3.17,0.0,0.0,30.0,0.0,0.0,0.0,80.0,12.03,100.0,75.0,0.0,0.0,100.0,45.56,93.33,8.63,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,6.67,50.0,3.33,0.0,100.0,5.02,0.0,0.0,56.67,0.0,40.0,0.0,83.33,11.65,80.0,23.33,50.0,26.11,0.0,0.0,10.0,0.0,20.83,0.0,3.33,0.0,6.67,50.0,6.67,0.0,100.0,0.0,100.0,52.0,97.0,63.2,100.0,64.0,100.0,23.0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL,Qwen-GuidePlay-2B-v1,35.99,-1.94,40.62,46.91,39.11,6.53,11.86,11.22,-0.34,-1.6,0.32,10.0,66.67,27.77,2.14,67.69,36.36,70.0,69.19,98.33,45.2,20.0,82.27,0.0,5.0,100.0,53.77,0.0,31.11,6.67,36.37,100.0,75.77,90.0,69.81,96.67,100.0,33.33,3.33,6.66,25.0,23.34,75.0,0.0,-1.69,10.0,0.0,43.33,0.0,45.0,0.0,-16.66,-1.85,-80.0,-23.33,20.0,4.64,0.0,0.0,0.0,0.0,-20.83,0.0,13.34,0.0,70.0,50.0,70.0,95.65,0.0,34.62,0.0,0.0,-8.0,-15.0,0.0,-20.0,0.0,2.0
DAIR__qwen3.5-2b__sft-dpo-v2,DAIR,sft-dpo-v2,38.93,-0.71,46.42,50.39,43.64,10.84,21.54,15.11,-0.68,0.6,-0.92,60.0,93.06,27.45,6.24,75.38,35.71,70.0,86.38,96.67,55.17,20.0,85.95,0.0,22.5,100.0,57.09,0.0,36.66,6.67,55.54,90.0,72.24,100.0,75.48,100.0,100.0,23.33,7.5,23.33,0.0,13.34,60.0,0.0,-3.35,30.0,0.0,23.33,0.0,57.5,0.0,-33.33,4.42,20.0,17.67,3.33,13.21,0.0,0.0,20.0,0.0,-20.83,0.0,23.34,10.0,83.33,50.0,73.33,100.0,0.0,10.58,0.0,-3.0,3.0,5.84,0.0,-23.0,0.0,5.0
DAIR__qwen3.5-2b__sft-v1,DAIR,sft-v1,35.34,0.11,41.54,47.56,39.77,11.9,19.17,18.18,-2.83,0.4,-3.0,50.0,95.0,33.33,6.05,64.62,39.29,70.0,58.15,98.33,33.33,20.0,84.92,0.0,17.5,100.0,49.95,0.0,36.66,6.67,49.7,78.0,73.28,100.0,74.95,96.67,100.0,16.66,8.0,16.66,-14.29,10.0,75.0,0.0,-1.24,10.0,0.0,3.33,0.0,57.5,0.0,0.0,3.62,0.0,16.67,10.0,3.75,10.0,12.5,-10.0,0.0,-8.33,0.0,20.0,47.14,73.33,50.0,83.33,96.3,0.0,5.77,0.0,-2.0,2.0,2.23,0.0,-23.0,0.0,2.0
playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,playornotplay,playornotplay-v1.0-merged-fp32-7263076,28.25,-0.1,33.54,46.83,30.08,4.16,-2.11,13.25,2.73,-1.6,3.46,100.0,58.33,22.22,1.68,46.92,29.51,70.0,39.75,100.0,18.33,17.5,59.43,0.0,10.0,56.0,38.69,0.0,-2.23,6.67,39.15,100.0,57.91,100.0,70.99,100.0,53.33,26.66,7.69,3.33,50.0,0.0,100.0,-96.67,-5.02,56.67,0.0,-23.34,2.0,-5.0,0.0,-50.0,-6.8,-55.0,-4.66,-10.0,29.45,15.0,33.33,0.0,0.0,4.17,0.0,76.67,4.17,30.0,50.0,30.0,90.91,0.0,39.42,0.0,-2.0,-8.0,-11.11,0.0,-14.0,0.0,5.0
qwen3.5-4b,,,26.66,51.33,29.28,57.55,50.87,17.99,45.51,39.52,48.74,99.6,48.94,57.5,68.12,55.56,29.31,0.0,0.0,72.5,5.95,0.0,0.0,82.5,74.36,100.0,67.5,76.0,15.97,100.0,53.33,100.0,39.44,100.0,54.89,70.0,59.57,53.33,93.75,26.67,25.0,16.67,75.0,10.0,50.0,96.67,19.25,10.0,23.33,33.33,7.0,82.5,8.08,83.33,18.05,55.0,47.27,96.67,51.29,40.0,100.0,0.0,0.0,54.17,16.67,10.0,0.0,10.0,100.0,20.0,83.33,100.0,0.0,100.0,54.0,98.0,68.68,100.0,82.0,100.0,40.0
Bentel rockers__qwen3.5-4b__Bentel_iter,Bentel rockers,Bentel_iter,4.92,2.94,4.02,7.17,0.59,-1.39,1.48,-4.2,1.58,0.0,1.58,17.5,-17.01,27.77,-0.64,19.23,28.0,7.5,14.24,93.33,25.0,-27.5,-11.59,0.0,12.5,2.0,7.04,-3.33,14.49,-8.33,6.01,0.0,-1.19,-20.0,2.05,33.34,-5.29,-26.67,-25.0,3.33,-13.89,-3.33,25.0,3.33,-1.9,30.0,-14.58,-10.0,10.14,15.0,-8.08,-33.33,5.29,15.0,0.35,-6.67,-15.49,-20.0,0.0,40.0,0.0,-20.84,-12.5,3.33,5.0,10.0,0.0,-6.67,16.67,0.0,20.19,0.0,-2.0,0.0,-1.28,0.0,-5.0,0.0,-4.0
Bentel rockers__qwen3.5-4b__Bentel_iter_2,Bentel rockers,Bentel_iter_2,-2.39,-3.96,-0.81,13.57,-10.84,-7.8,9.36,-20.94,-5.1,0.2,-5.21,7.5,-64.27,44.44,-24.73,0.0,0.0,17.5,-3.6,98.33,33.33,17.5,23.16,0.0,-15.0,24.0,2.92,0.0,0.0,0.0,-5.83,-2.0,4.07,-70.0,-59.57,20.0,6.25,16.66,-23.46,16.66,-25.0,26.67,0.0,-10.0,-5.12,63.33,-23.33,23.34,-7.0,17.5,-8.08,-33.33,-2.99,25.0,-3.1,-3.34,-13.79,-30.0,-43.75,40.0,8.33,-37.5,-16.67,46.67,0.0,13.33,-71.43,6.67,-45.83,0.0,30.77,0.0,0.0,1.0,-6.79,0.0,-46.0,0.0,-4.0
Bentel rockers__qwen3.5-4b__Bentel_iter_3,Bentel rockers,Bentel_iter_3,6.69,2.94,4.46,7.49,1.0,-1.39,1.48,-4.2,1.58,0.0,1.58,22.5,-10.83,27.77,-0.64,19.23,28.0,7.5,14.24,93.33,25.0,-27.5,-11.59,0.0,12.5,2.0,7.04,-3.33,14.49,-8.33,6.01,0.0,-1.19,-20.0,2.05,33.34,-5.29,-26.67,-25.0,3.33,-13.89,-3.33,25.0,3.33,-1.9,30.0,-14.58,-10.0,10.14,15.0,-8.08,-33.33,5.29,15.0,0.35,-6.67,-15.49,-20.0,0.0,40.0,0.0,-20.84,-12.5,3.33,5.0,10.0,0.0,-6.67,16.67,0.0,20.19,0.0,-2.0,0.0,-1.28,0.0,-5.0,0.0,-4.0
llama-3.1-8b-instruct,,,19.53,45.59,27.97,61.11,45.77,22.62,62.22,36.36,40.87,95.8,42.66,75.0,88.89,61.11,42.84,60.77,17.72,77.5,4.39,91.67,9.7,40.0,39.31,100.0,62.5,70.0,55.91,100.0,41.11,98.33,50.0,30.0,51.58,23.33,49.52,63.33,100.0,50.0,14.0,26.67,60.42,10.0,44.44,96.67,11.99,100.0,1.17,86.67,3.85,50.0,20.0,100.0,40.63,100.0,42.67,93.33,42.56,35.0,73.21,55.56,33.33,25.0,0.0,50.0,3.33,13.33,100.0,3.33,100.0,100.0,0.0,100.0,50.0,100.0,65.98,100.0,72.0,79.0,25.32
