model,team,version,playpen_clemscore,playpen_statscore,"ID_-, clemscore","ID_all, Average %P","ID_all, Average QS","OOD_-, clemscore","OOD_all, Average %P","OOD_all, Average QS","ID_adventuregame, %P","ID_adventuregame, QS","ID_bbh, %P","ID_bbh, QS","ID_cladder, %P","ID_cladder, QS","ID_clean_up, %P","ID_clean_up, QS","ID_codenames, %P","ID_codenames, QS","ID_dond, %P","ID_dond, QS","ID_eqbench, %P","ID_eqbench, QS","ID_guesswhat, %P","ID_guesswhat, QS","ID_ifeval, %P","ID_ifeval, QS","ID_imagegame, %P","ID_imagegame, QS","ID_matchit_ascii, %P","ID_matchit_ascii, QS","ID_mmlu_pro, %P","ID_mmlu_pro, QS","ID_privateshared, %P","ID_privateshared, QS","ID_referencegame, %P","ID_referencegame, QS","ID_taboo, %P","ID_taboo, QS","ID_textmapworld, %P","ID_textmapworld, QS","ID_textmapworld_graphreasoning, %P","ID_textmapworld_graphreasoning, QS","ID_textmapworld_specificroom, %P","ID_textmapworld_specificroom, QS","ID_wordle, %P","ID_wordle, QS","ID_wordle_withclue, %P","ID_wordle_withclue, QS","ID_wordle_withcritic, %P","ID_wordle_withcritic, QS","OOD_chronicle, %P","OOD_chronicle, QS","OOD_clockwork_courier, %P","OOD_clockwork_courier, QS","OOD_cryptolect, %P","OOD_cryptolect, QS","OOD_get_to_the_point, %P","OOD_get_to_the_point, QS","OOD_st_clean_up, %P","OOD_st_clean_up, QS","OOD_ta_blackjack, %P","OOD_ta_blackjack, QS","OOD_ta_frozen_lake, %P","OOD_ta_frozen_lake, QS","OOD_ta_mastermind, %P","OOD_ta_mastermind, QS","OOD_ta_sokoban, %P","OOD_ta_sokoban, QS","OOD_toh_multi_turn, %P","OOD_toh_multi_turn, QS","OOD_wordle-crazy, %P","OOD_wordle-crazy, QS","OOD_wordle-crazy_withclue, %P","OOD_wordle-crazy_withclue, QS","OOD_wordle-crazy_withcritic, %P","OOD_wordle-crazy_withcritic, QS"
qwen3.5-2b,,,11.43,27.26,13.41,47.32,28.33,3.72,35.19,10.56,0,,100,0,100,52,66.67,3.17,0,,30,0,97,63.2,0,,100,64,80,12.03,100,75,100,23,0,,100,45.56,93.33,8.63,0,,0,,0,,16.67,0,6.67,50,3.33,0,100,5.02,0,,56.67,0,40,0,83.33,11.65,80,23.33,50,26.11,0,,10,0,20.83,0,3.33,0,6.67,50,6.67,0
CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL,Qwen-GuidePlay-2B-v1,50.44,36.74,46.26,82.67,55.96,10.25,47.05,21.78,10,66.67,100,34.62,100,52,94.44,5.31,67.69,36.36,100,69.19,89,48.2,98.33,45.2,100,44,100,94.3,100,80,100,25,100,53.77,100,76.67,100,45,100,75.77,90,69.81,96.67,100,50,3.33,13.33,75,26.67,75,100,3.33,10,0,100,0,85,0,66.67,9.8,0,,70,30.75,0,,10,0,0,0,16.67,0,76.67,100,76.67,95.65
DAIR__qwen3.5-2b__sft-dpo-v2,DAIR,sft-dpo-v2,49.03,26.87,50.75,85.85,59.12,14.56,56.73,25.67,60,93.06,100,10.58,100,49,94.12,9.41,75.38,35.71,100,86.38,100,69.04,96.67,55.17,100,41,100,97.98,100,97.5,100,28,100,57.09,100,82.22,100,64.17,90,72.24,100,75.48,100,100,40,7.5,30,50,16.67,60,100,1.67,30,0,80,0,97.5,0,50,16.07,100,41,53.33,39.32,0,,30,0,0,0,26.67,10,90,100,80,100
DAIR__qwen3.5-2b__sft-v1,DAIR,sft-v1,46.34,22.86,46.57,83.65,55.67,15.62,54.36,28.74,50,95,100,5.77,100,50,100,9.22,64.62,39.29,100,58.15,99,65.43,98.33,33.33,100,41,100,96.95,100,92.5,100,25,100,49.95,100,82.22,100,58.33,78,73.28,100,74.95,96.67,100,33.33,8,23.33,35.71,13.33,75,100,3.78,10,0,60,0,97.5,0,83.33,15.27,80,40,60,29.86,10,12.5,0,,12.5,0,23.33,47.14,80,100,90,96.3
playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,playornotplay,playornotplay-v1.0-merged-fp32-7263076,39.9,18.94,41.17,82.62,49.83,7.88,33.08,23.81,100,58.33,100,39.42,100,50,88.89,4.85,46.92,29.51,100,39.75,89,52.09,100,18.33,100,50,97.5,71.46,100,85,100,28,56,38.69,100,43.33,100,47.78,100,57.91,100,70.99,100,53.33,43.33,7.69,10,100,3.33,100,3.33,0,56.67,0,33.33,2,35,0,33.33,4.85,25,18.67,40,55.56,15,33.33,10,0,25,0,80,4.17,36.67,100,36.67,90.91
qwen3.5-4b,,,33.71,37.16,34.02,67.56,50.36,17.99,45.51,39.52,57.5,68.12,100,0,100,54,55.56,29.31,0,,72.5,5.95,98,68.68,0,,100,82,82.5,74.36,100,67.5,100,40,76,15.97,100,53.33,100,39.44,100,54.89,70,59.57,53.33,93.75,26.67,25,16.67,75,10,50,96.67,19.25,10,23.33,33.33,7,82.5,8.08,83.33,18.05,55,47.27,96.67,51.29,40,100,0,,54.17,16.67,10,0,10,100,20,83.33
Bentel rockers__qwen3.5-4b__Bentel_iter,Bentel rockers,Bentel_iter,36.09,35.75,37.41,73.03,51.22,16.6,46.99,35.32,75,51.11,100,20.19,100,52,83.33,28.67,19.23,28,80,20.19,98,67.4,93.33,25,100,77,55,62.77,100,80,100,36,78,23.01,96.67,67.82,91.67,45.45,100,53.7,50,61.62,86.67,88.46,0,,20,61.11,6.67,75,100,17.35,40,8.75,23.33,17.14,97.5,0,50,23.34,70,47.62,90,35.8,20,100,40,0,33.33,4.17,13.33,5,20,100,13.33,100
Bentel rockers__qwen3.5-4b__Bentel_iter_2,Bentel rockers,Bentel_iter_2,29.67,60.74,31.97,77.95,41.01,10.19,54.87,18.58,65,3.85,100,30.77,100,54,100,4.58,0,,90,2.35,99,61.89,98.33,33.33,100,36,100,97.52,100,52.5,100,36,100,18.89,100,53.33,100,33.61,98,58.96,0,,73.33,100,43.33,1.54,33.33,50,36.67,50,86.67,14.13,73.33,0,56.67,0,100,0,50,15.06,80,44.17,93.33,37.5,10,56.25,40,8.33,16.67,0,56.67,0,23.33,28.57,26.67,37.5
Bentel rockers__qwen3.5-4b__Bentel_iter_3,Bentel rockers,Bentel_iter_3,36.09,35.75,37.76,73.27,51.53,16.6,46.99,35.32,80,57.29,100,20.19,100,52,83.33,28.67,19.23,28,80,20.19,98,67.4,93.33,25,100,77,55,62.77,100,80,100,36,78,23.01,96.67,67.82,91.67,45.45,100,53.7,50,61.62,86.67,88.46,0,,20,61.11,6.67,75,100,17.35,40,8.75,23.33,17.14,97.5,0,50,23.34,70,47.62,90,35.8,20,100,40,0,33.33,4.17,13.33,5,20,100,13.33,100
llama-3.1-8b-instruct,,,22.19,49.26,31.24,69.37,45.03,22.62,62.22,36.36,75,88.89,100,0,100,50,61.11,42.84,60.77,17.72,77.5,4.39,100,65.98,91.67,9.7,100,72,40,39.31,100,62.5,79,25.32,70,55.91,100,41.11,98.33,50,30,51.58,23.33,49.52,63.33,100,50,14,26.67,60.42,10,44.44,96.67,11.99,100,1.17,86.67,3.85,50,20,100,40.63,100,42.67,93.33,42.56,35,73.21,55.56,33.33,25,0,50,3.33,13.33,100,3.33,100
